id,soc_broad_id,occ_code,title,description
289,153,29-1021,"Dentists, General","Examine, diagnose, and treat diseases, injuries, and malformations of teeth
and gums. May treat diseases of nerve, pulp, and other dental tissues
affecting oral hygiene and retention of teeth. May fit dental appliances or
provide preventive care. Excludes ""Oral and Maxillofacial Surgeons""
(29-1022), ""Orthodontists"" (29-1023), ""Prosthodontists"" (29-1024), and
""Dentists, All Other Specialists"" (29-1029)."
290,153,29-1022,Oral and Maxillofacial Surgeons,"Perform surgery and related procedures on the hard and soft tissues of the
oral and maxillofacial regions to treat diseases, injuries, or defects. May
diagnose problems of the oral and maxillofacial regions. May perform
surgery to improve function or appearance."
291,153,29-1023,Orthodontists,"Examine, diagnose, and treat dental malocclusions and oral cavity
anomalies. Design and fabricate appliances to realign teeth and jaws to
produce and maintain normal function and to improve appearance."
292,153,29-1024,Prosthodontists,"Diagnose, treat, rehabilitate, design, and fit prostheses that maintain
oral function, health, and appearance for patients with clinical conditions
associated with teeth, oral and maxillofacial tissues, or the jaw."
293,153,29-1029,"Dentists, All Other Specialists",All dentists not listed separately.
294,154,29-1031,Dietitians and Nutritionists,"Plan and conduct food service or nutritional programs to assist in the
promotion of health and control of disease. May supervise activities of a
department providing quantity food services, counsel individuals, or
conduct nutritional research."
295,155,29-1041,Optometrists,"Diagnose, manage, and treat conditions and diseases of the human eye and
visual system. Examine eyes and visual system, diagnose problems or
impairments, prescribe corrective lenses, and provide treatment. May
prescribe therapeutic drugs to treat specific eye conditions.
Ophthalmologists are included in ""Ophthalmologists, Except Pediatric""
(29-1241)."
296,156,29-1051,Pharmacists,"Dispense drugs prescribed by physicians and other health practitioners and
provide information to patients about medications and their use. May advise
physicians and other health practitioners on the selection, dosage,
interactions, and side effects of medications."
297,157,29-1071,Physician Assistants,"Provide healthcare services typically performed by a physician, under the
supervision of a physician. Conduct complete physicals, provide treatment,
and counsel patients. May, in some cases, prescribe medication. Must
graduate from an accredited educational program for physician assistants.
Excludes ""Registered Nurses"" (29-1141), ""Nurse Anesthetists"" (29-1151),
""Nurse Midwives"" (29-1161), ""Nurse Practitioners"" (29-1171), ""Emergency
Medical Technicians"" (29-2042), ""Paramedics"" (29-2043), ""Surgical
Assistants"" (29-9093), and ""Medical Assistants"" (31-9092)."
298,158,29-1081,Podiatrists,Diagnose and treat diseases and deformities of the human foot.
299,159,29-1122,Occupational Therapists,"Assess, plan, and organize rehabilitative programs that help build or
restore vocational, homemaking, and daily living skills, as well as general
independence, to persons with disabilities or developmental delays. Use
therapeutic techniques, adapt the individual's environment, teach skills,
and modify specific tasks that present barriers to the individual. Excludes
""Rehabilitation Counselors"" (21-1015)."
300,159,29-1123,Physical Therapists,"Assess, plan, organize, and participate in rehabilitative programs that
improve mobility, relieve pain, increase strength, and improve or correct
disabling conditions resulting from disease or injury."
301,159,29-1124,Radiation Therapists,"Provide radiation therapy to patients as prescribed by a radiation
oncologist according to established practices and standards. Duties may
include reviewing prescription and diagnosis; acting as liaison with
physician and supportive care personnel; preparing equipment, such as
immobilization, treatment, and protection devices; and maintaining records,
reports, and files. May assist in dosimetry procedures and tumor
localization."
302,159,29-1125,Recreational Therapists,"Plan, direct, or coordinate medically-approved recreation programs for
patients in hospitals, nursing homes, or other institutions. Activities
include sports, trips, dramatics, social activities, and crafts. May assess
a patient condition and recommend appropriate recreational activity.
Excludes ""Recreation Workers"" (39-9032)."
303,159,29-1126,Respiratory Therapists,"Assess, treat, and care for patients with breathing disorders. Assume
primary responsibility for all respiratory care modalities, including the
supervision of respiratory therapy technicians. Initiate and conduct
therapeutic procedures; maintain patient records; and select, assemble,
check, and operate equipment."
304,159,29-1127,Speech-Language Pathologists,"Assess and treat persons with speech, language, voice, and fluency
disorders. May select alternative communication systems and teach their
use. May perform research related to speech and language problems."
